time,ctrlMel.statePos_x,ctrlMel.statePos_y,ctrlMel.statePos_z,ctrlMel.setpointPos_x,ctrlMel.setpointPos_y,ctrlMel.setpointPos_z,ctrlMel.log_data,
15.563,0.235616,-0.146719,0.0340238,0,0,0,0,
15.573,0.235636,-0.146768,0.0340242,0,0,0,0,
15.583,0.235316,-0.145873,0.0340118,0,0,0,0,
15.593,0.235491,-0.146334,0.0340183,0,0,0,0,
15.603,0.235577,-0.146047,0.034021,0,0,0,0,
15.613,0.235617,-0.1459,0.0340208,0,0,0,0,
15.623,0.235635,-0.145822,0.0340195,0,0,0,0,
15.633,0.235314,-0.146155,0.0340089,0,0,0,0,
15.643,0.235315,-0.146273,0.0340088,0,0,0,0,
15.653,0.235485,-0.146542,0.034016,0,0,0,0,
15.663,0.23557,-0.146678,0.0340212,0,0,0,0,
15.673,0.235612,-0.146744,0.0340239,0,0,0,0,
15.683,0.235309,-0.14638,0.034012,0,0,0,0,
15.693,0.235312,-0.146387,0.0340119,0,0,0,0,
15.703,0.235485,-0.146602,0.0340174,0,0,0,0,
15.713,0.235571,-0.146708,0.0340189,0,0,0,0,
15.723,0.235614,-0.14676,0.0340187,0,0,0,0,
15.733,0.23531,-0.146384,0.0340092,0,0,0,0,
15.743,0.235314,-0.146388,0.0340098,0,0,0,0,
15.753,0.235316,-0.146388,0.0340101,0,0,0,0,
15.763,0.235487,-0.146599,0.0340154,0,0,0,0,
15.774,0.235571,-0.146704,0.0340185,0,0,0,0,
15.783,0.2353,-0.1456,0.0340097,0,0,0,0,
15.793,0.235309,-0.145995,0.0340098,0,0,0,0,
15.813,0.235571,-0.146605,0.0340196,0,0,0,0,
15.823,0.235613,-0.146707,0.0340207,0,0,0,0,
15.833,0.235309,-0.146112,0.0340101,0,0,0,0,
15.843,0.235519,-0.146498,0.0340178,0,0,0,0,
15.853,0.235589,-0.146124,0.0340212,0,0,0,0,
15.863,0.235623,-0.146463,0.0340223,0,0,0,0,
15.873,0.235637,-0.146632,0.0340222,0,0,0,0,
15.883,0.235519,-0.146329,0.0340167,0,0,0,0,
15.893,0.235586,-0.146561,0.0340175,0,0,0,0,
15.903,0.235651,-0.146717,0.0340186,0,0,0,0,
15.913,0.235317,-0.145835,0.0340091,0,0,0,0,
15.923,0.235642,-0.146496,0.0340172,0,0,0,0,
15.933,0.235637,-0.146635,0.0340167,0,0,0,0,
15.943,0.235476,-0.146038,0.0340123,0,0,0,0,
15.953,0.235235,-0.145511,0.034006,0,0,0,0,
15.973,0.23562,-0.146302,0.0340189,0,0,0,0,
15.983,0.235303,-0.14615,0.0340092,0,0,0,0,
16.003,0.235285,-0.146068,0.0340098,0,0,0,0,
16.013,0.235301,-0.146231,0.0340108,0,0,0,0,
16.023,0.235309,-0.145799,0.0340107,0,0,0,0,
16.033,0.235238,-0.145896,0.0340071,0,0,0,0,
16.043,0.235279,-0.145634,0.0340072,0,0,0,0,
16.053,0.235299,-0.146013,0.0340068,0,0,0,0,
16.063,0.235309,-0.146202,0.0340068,0,0,0,0,
16.073,0.235313,-0.145781,0.034007,0,0,0,0,
16.083,0.23524,-0.146139,0.0340053,0,0,0,0,
16.093,0.23528,-0.145751,0.034006,0,0,0,0,
16.103,0.235299,-0.145554,0.0340057,0,0,0,0,
16.113,0.235308,-0.145453,0.0340052,0,0,0,0,
16.123,0.235312,-0.145916,0.0340056,0,0,0,0,
16.133,0.235483,-0.146348,0.0340125,0,0,0,0,
16.143,0.235279,-0.14628,0.0340088,0,0,0,0,
16.153,0.235298,-0.145819,0.0340102,0,0,0,0,
16.163,0.235308,-0.146098,0.0340108,0,0,0,0,
16.173,0.235312,-0.146237,0.0340116,0,0,0,0,
16.183,0.235239,-0.145742,0.0340089,0,0,0,0,
16.193,0.235281,-0.145549,0.0340091,0,0,0,0,
16.203,0.235301,-0.145964,0.0340086,0,0,0,0,
16.213,0.235311,-0.146172,0.0340088,0,0,0,0,
16.223,0.235316,-0.146276,0.0340092,0,0,0,0,
16.233,0.235492,-0.14653,0.0340142,0,0,0,0,
16.243,0.235286,-0.146324,0.0340081,0,0,0,0,
16.253,0.235307,-0.145842,0.034009,0,0,0,0,
16.263,0.235319,-0.146113,0.0340097,0,0,0,0,
16.273,0.235324,-0.14625,0.0340108,0,0,0,0,
16.283,0.235506,-0.146527,0.0340197,0,0,0,0,
16.293,0.235292,-0.146329,0.0340127,0,0,0,0,
16.303,0.235313,-0.14585,0.0340144,0,0,0,0,
16.313,0.235322,-0.146121,0.0340155,0,0,0,0,
16.323,0.235325,-0.145742,0.0340174,0,0,0,0,
16.333,0.235163,-0.146034,0.0340099,0,0,0,0,
16.343,0.235248,-0.145705,0.0340167,0,0,0,0,
16.353,0.235291,-0.145537,0.0340196,0,0,0,0,
16.363,0.235312,-0.145451,0.034021,0,0,0,0,
16.373,0.235321,-0.145921,0.0340217,0,0,0,0,
16.383,0.235163,-0.145323,0.0340108,0,0,0,0,
16.393,0.235247,-0.145348,0.0340159,0,0,0,0,
16.403,0.235289,-0.145872,0.0340185,0,0,0,0,
16.413,0.235308,-0.146136,0.0340198,0,0,0,0,
16.423,0.235317,-0.146269,0.0340199,0,0,0,0,
16.433,0.235161,-0.145669,0.0340099,0,0,0,0,
16.443,0.235245,-0.14553,0.0340157,0,0,0,0,
16.453,0.235287,-0.145971,0.0340188,0,0,0,0,
